"pic_id","sample_size","test_param","param_value","p_value","obs_plot_location","pic_name","experiment","difficulty","data_name"
1,3,"turk19-plain","k-3-sdline-0.20-sdgroup-0.25","trend-0.87472",13,"Images/Lineups/svgs/test-set-1-plot-plain-k-3-sdline-0.20-sdgroup-0.25.svg","turk19",-110,"test-set-1-k-3-sdline-0.20-sdgroup-0.25"
2,3,"turk19-plain","k-3-sdline-0.20-sdgroup-0.25","trend-0.86945",8,"Images/Lineups/svgs/test-set-2-plot-plain-k-3-sdline-0.20-sdgroup-0.25.svg","turk19",-110,"test-set-2-k-3-sdline-0.20-sdgroup-0.25"
3,3,"turk19-plain","k-3-sdline-0.20-sdgroup-0.25","trend-0.93156",16,"Images/Lineups/svgs/test-set-3-plot-plain-k-3-sdline-0.20-sdgroup-0.25.svg","turk19",-110,"test-set-3-k-3-sdline-0.20-sdgroup-0.25"
4,3,"turk19-plain","k-3-sdline-0.20-sdgroup-0.25","trend-0.91519",10,"Images/Lineups/svgs/test-set-4-plot-plain-k-3-sdline-0.20-sdgroup-0.25.svg","turk19",-110,"test-set-4-k-3-sdline-0.20-sdgroup-0.25"
5,3,"turk19-plain","k-3-sdline-0.20-sdgroup-0.25","trend-0.91626",17,"Images/Lineups/svgs/test-set-5-plot-plain-k-3-sdline-0.20-sdgroup-0.25.svg","turk19",-110,"test-set-5-k-3-sdline-0.20-sdgroup-0.25"
6,3,"turk19-plain","k-3-sdline-0.20-sdgroup-0.25","trend-0.92208",11,"Images/Lineups/svgs/test-set-6-plot-plain-k-3-sdline-0.20-sdgroup-0.25.svg","turk19",-110,"test-set-6-k-3-sdline-0.20-sdgroup-0.25"
7,3,"turk19-plain","k-3-sdline-0.20-sdgroup-0.25","trend-0.88195",5,"Images/Lineups/svgs/test-set-7-plot-plain-k-3-sdline-0.20-sdgroup-0.25.svg","turk19",-110,"test-set-7-k-3-sdline-0.20-sdgroup-0.25"
8,3,"turk19-plain","k-3-sdline-0.20-sdgroup-0.25","trend-0.92772",2,"Images/Lineups/svgs/test-set-8-plot-plain-k-3-sdline-0.20-sdgroup-0.25.svg","turk19",-110,"test-set-8-k-3-sdline-0.20-sdgroup-0.25"
9,3,"turk19-plain","k-3-sdline-0.20-sdgroup-0.25","trend-0.89961",4,"Images/Lineups/svgs/test-set-9-plot-plain-k-3-sdline-0.20-sdgroup-0.25.svg","turk19",-110,"test-set-9-k-3-sdline-0.20-sdgroup-0.25"
10,3,"turk19-plain","k-3-sdline-0.20-sdgroup-0.25","trend-0.87596",9,"Images/Lineups/svgs/test-set-10-plot-plain-k-3-sdline-0.20-sdgroup-0.25.svg","turk19",-110,"test-set-10-k-3-sdline-0.20-sdgroup-0.25"
11,3,"turk19-plain","k-3-sdline-0.25-sdgroup-0.15","cluster-0.95965",11,"Images/Lineups/svgs/test-set-11-plot-plain-k-3-sdline-0.25-sdgroup-0.15.svg","turk19",-120,"test-set-11-k-3-sdline-0.25-sdgroup-0.15"
12,3,"turk19-plain","k-3-sdline-0.25-sdgroup-0.15","cluster-0.96463",16,"Images/Lineups/svgs/test-set-12-plot-plain-k-3-sdline-0.25-sdgroup-0.15.svg","turk19",-120,"test-set-12-k-3-sdline-0.25-sdgroup-0.15"
13,3,"turk19-plain","k-3-sdline-0.25-sdgroup-0.15","cluster-0.96384",5,"Images/Lineups/svgs/test-set-13-plot-plain-k-3-sdline-0.25-sdgroup-0.15.svg","turk19",-120,"test-set-13-k-3-sdline-0.25-sdgroup-0.15"
14,3,"turk19-plain","k-3-sdline-0.25-sdgroup-0.15","cluster-0.96670",5,"Images/Lineups/svgs/test-set-14-plot-plain-k-3-sdline-0.25-sdgroup-0.15.svg","turk19",-120,"test-set-14-k-3-sdline-0.25-sdgroup-0.15"
15,3,"turk19-plain","k-3-sdline-0.25-sdgroup-0.15","cluster-0.96644",5,"Images/Lineups/svgs/test-set-15-plot-plain-k-3-sdline-0.25-sdgroup-0.15.svg","turk19",-120,"test-set-15-k-3-sdline-0.25-sdgroup-0.15"
16,3,"turk19-plain","k-3-sdline-0.25-sdgroup-0.15","cluster-0.96517",17,"Images/Lineups/svgs/test-set-16-plot-plain-k-3-sdline-0.25-sdgroup-0.15.svg","turk19",-120,"test-set-16-k-3-sdline-0.25-sdgroup-0.15"
17,3,"turk19-plain","k-3-sdline-0.25-sdgroup-0.15","cluster-0.97143",9,"Images/Lineups/svgs/test-set-17-plot-plain-k-3-sdline-0.25-sdgroup-0.15.svg","turk19",-120,"test-set-17-k-3-sdline-0.25-sdgroup-0.15"
18,3,"turk19-plain","k-3-sdline-0.25-sdgroup-0.15","cluster-0.96597",12,"Images/Lineups/svgs/test-set-18-plot-plain-k-3-sdline-0.25-sdgroup-0.15.svg","turk19",-120,"test-set-18-k-3-sdline-0.25-sdgroup-0.15"
19,3,"turk19-plain","k-3-sdline-0.25-sdgroup-0.15","cluster-0.97629",14,"Images/Lineups/svgs/test-set-19-plot-plain-k-3-sdline-0.25-sdgroup-0.15.svg","turk19",-120,"test-set-19-k-3-sdline-0.25-sdgroup-0.15"
20,3,"turk19-plain","k-3-sdline-0.25-sdgroup-0.15","cluster-0.97164",19,"Images/Lineups/svgs/test-set-20-plot-plain-k-3-sdline-0.25-sdgroup-0.15.svg","turk19",-120,"test-set-20-k-3-sdline-0.25-sdgroup-0.15"
