"pic_id","sample_size","test_param","param_value","p_value","obs_plot_location","pic_name","experiment","difficulty","data_name"
1,20052,"bullet","trials",NA,3,"Images/Lineups/svgs/fileb20b1d9a8fd4.svg","turk20",13,"trial-b41.csv"
2,19857,"bullet","trials",NA,8,"Images/Lineups/svgs/fileb20b54ae4aee.svg","turk20",14,"trial-b43.csv"
3,19992,"bullet","trials",NA,4,"Images/Lineups/svgs/fileb20b5790c186.svg","turk20",15,"trial-b45.csv"
4,19876,"bullet","trials",NA,5,"Images/Lineups/svgs/fileb20b121698e.svg","turk20",16,"trial-b46.csv"
