pic_id,sample_size,test_param,param_value,p_value,obs_plot_location,pic_name,experiment,difficulty,data_name
2241,NA,jtts,NA,NA,3,Lineup-Images/senate/ForExperiment10-15/svgs/file23c4b09fd85.svg,turk22,NA,jtts_neg_med_1.csv
2242,NA,jtts,NA,NA,4,Lineup-Images/senate/ForExperiment10-15/svgs/file23c4af97df4.svg,turk22,NA,jtts_neg_med_2.csv
2243,NA,jtts,NA,NA,3,Lineup-Images/senate/ForExperiment10-15/svgs/file23c76bd3306.svg,turk22,NA,jtts_neg_med_3.csv
1141,NA,jtts,2,NA,3,Lineup-Images/senate/ForExperiment10-15/svgs/file23c7f2254ed.svg,turk22,NA,jtts_pos_easy_1.csv
1142,NA,jtts,2,NA,3,Lineup-Images/senate/ForExperiment10-15/svgs/file23c6f7d6bfe.svg,turk22,NA,jtts_pos_easy_2.csv
1143,NA,jtts,2,NA,2,Lineup-Images/senate/ForExperiment10-15/svgs/file23c455c268e.svg,turk22,NA,jtts_pos_easy_3.csv
3141,NA,jtts,1,NA,5,Lineup-Images/senate/ForExperiment10-15/svgs/file23c4122d7aa.svg,turk22,NA,jtts_pos_hard_1.csv
3142,NA,jtts,1,NA,1,Lineup-Images/senate/ForExperiment10-15/svgs/file23c6ee54512.svg,turk22,NA,jtts_pos_hard_2.csv
3143,NA,jtts,1,NA,1,Lineup-Images/senate/ForExperiment10-15/svgs/file23cd70eafe.svg,turk22,NA,jtts_pos_hard_3.csv
2141,NA,jtts,1.5,NA,2,Lineup-Images/senate/ForExperiment10-15/svgs/file23c374aa31a.svg,turk22,NA,jtts_pos_med_1.csv
2142,NA,jtts,1.5,NA,1,Lineup-Images/senate/ForExperiment10-15/svgs/file23c60a200f7.svg,turk22,NA,jtts_pos_med_2.csv
2143,NA,jtts,1.5,NA,2,Lineup-Images/senate/ForExperiment10-15/svgs/file23c4394d33a.svg,turk22,NA,jtts_pos_med_3.csv
1221,NA,recip,0,NA,4,Lineup-Images/senate/ForExperiment10-15/svgs/file23c2b526619.svg,turk22,NA,recip_neg_easy_1.csv
1222,NA,recip,0,NA,2,Lineup-Images/senate/ForExperiment10-15/svgs/file23c65d988ff.svg,turk22,NA,recip_neg_easy_2.csv
1223,NA,recip,0,NA,5,Lineup-Images/senate/ForExperiment10-15/svgs/file23c391e0f33.svg,turk22,NA,recip_neg_easy_3.csv
3221,NA,recip,0.01,NA,4,Lineup-Images/senate/ForExperiment10-15/svgs/file23c2ee64b30.svg,turk22,NA,recip_neg_hard_1.csv
3222,NA,recip,0.01,NA,6,Lineup-Images/senate/ForExperiment10-15/svgs/file23c1bc1460d.svg,turk22,NA,recip_neg_hard_2.csv
3223,NA,recip,0.01,NA,2,Lineup-Images/senate/ForExperiment10-15/svgs/file23c22e9efd0.svg,turk22,NA,recip_neg_hard_3.csv
2221,NA,recip,0.001,NA,3,Lineup-Images/senate/ForExperiment10-15/svgs/file23c6fb27ae8.svg,turk22,NA,recip_neg_med_1.csv
2222,NA,recip,0.001,NA,4,Lineup-Images/senate/ForExperiment10-15/svgs/file23c5a4de6c0.svg,turk22,NA,recip_neg_med_2.csv
2223,NA,recip,0.001,NA,1,Lineup-Images/senate/ForExperiment10-15/svgs/file23c46c3e2cc.svg,turk22,NA,recip_neg_med_3.csv
1121,NA,recip,1.5,NA,4,Lineup-Images/senate/ForExperiment10-15/svgs/file23c7d759ff4.svg,turk22,NA,recip_pos_easy_1.csv
