"pic_id","sample_size","test_param","param_value","p_value","obs_plot_location","pic_name","experiment","difficulty","data_name"
1,5,"scatter",1,1,3,"Images/Lineups/svgs/sxZ7BJdZVcKNQ.svg","turk18",1,1
2,5,"line",1,1,3,"Images/Lineups/svgs/lOHaqLF7qWj2h.svg","turk18",1,1
3,5,"scatter",1,1,3,"Images/Lineups/svgs/seJ4YEBglF36j.svg","turk18",1,1
4,5,"line",1,1,3,"Images/Lineups/svgs/lt2UdfG8SgiEm.svg","turk18",1,1
5,5,"scatter",1,1,17,"Images/Lineups/svgs/ssSx6XHa8BWoc.svg","turk18",1,1
6,5,"line",1,1,17,"Images/Lineups/svgs/lkWnYkGDjnFyb.svg","turk18",1,1
7,5,"scatter",1,1,11,"Images/Lineups/svgs/scGA4EXdyXzcu.svg","turk18",1,1
8,5,"line",1,1,11,"Images/Lineups/svgs/lGXOabsBYu9By.svg","turk18",1,1
9,5,"scatter",1,1,8,"Images/Lineups/svgs/sLnEuzTszLnYa.svg","turk18",1,1
10,5,"line",1,1,8,"Images/Lineups/svgs/l1suMgQ1onhte.svg","turk18",1,1
11,5,"scatter",1,1,2,"Images/Lineups/svgs/s2i5110Rhqp5x.svg","turk18",1,1
12,5,"line",1,1,2,"Images/Lineups/svgs/lJb6SxfKVRRVK.svg","turk18",1,1
13,5,"scatter",1,1,5,"Images/Lineups/svgs/s5jw3ExpsqiTK.svg","turk18",1,1
14,5,"line",1,1,5,"Images/Lineups/svgs/ltEznrhHcdANJ.svg","turk18",1,1
15,5,"scatter",1,1,7,"Images/Lineups/svgs/szHUU6DHGCxDh.svg","turk18",1,1
16,5,"line",1,1,7,"Images/Lineups/svgs/lC71LQKPWxRaH.svg","turk18",1,1
17,5,"scatter",1,1,10,"Images/Lineups/svgs/sQ05T5tj4xtsW.svg","turk18",1,1
18,5,"line",1,1,10,"Images/Lineups/svgs/l5O8EolGnTpjN.svg","turk18",1,1
19,5,"scatter",1,1,2,"Images/Lineups/svgs/sf18t1vbsmFSM.svg","turk18",1,1
20,5,"line",1,1,2,"Images/Lineups/svgs/lUJZoVZvoWCoI.svg","turk18",1,1
21,5,"scatter",1,1,7,"Images/Lineups/svgs/seKLJAz59bd29.svg","turk18",1,1
22,5,"line",1,1,7,"Images/Lineups/svgs/leihIHh6Ea683.svg","turk18",1,1
23,5,"scatter",1,1,11,"Images/Lineups/svgs/s0z8Hq6d5VZp0.svg","turk18",1,1
24,5,"line",1,1,11,"Images/Lineups/svgs/lqACzrk8qeYzS.svg","turk18",1,1
25,5,"scatter",1,1,8,"Images/Lineups/svgs/sQKUyoVqThz36.svg","turk18",1,1
26,5,"line",1,1,8,"Images/Lineups/svgs/lbX8ILtKlC3GQ.svg","turk18",1,1
27,5,"scatter",1,1,14,"Images/Lineups/svgs/sdppTwXjPIJVR.svg","turk18",1,1
28,5,"line",1,1,14,"Images/Lineups/svgs/loOXKrpyBZe9j.svg","turk18",1,1
29,5,"scatter",1,1,7,"Images/Lineups/svgs/sHzf4fnbvxOT1.svg","turk18",1,1
30,5,"line",1,1,7,"Images/Lineups/svgs/lTLekOln7jBi8.svg","turk18",1,1
31,5,"scatter",1,1,19,"Images/Lineups/svgs/slvnsxJ1aqAoD.svg","turk18",1,1
32,5,"line",1,1,10,"Images/Lineups/svgs/lKn8gje9klWFt.svg","turk18",1,1
33,5,"scatter",1,1,16,"Images/Lineups/svgs/sEe05NAB88PZb.svg","turk18",1,1
34,5,"line",1,1,16,"Images/Lineups/svgs/l5B5b1TyVjv3z.svg","turk18",1,1
35,5,"scatter",1,1,16,"Images/Lineups/svgs/sy5Sx1qtaPIAm.svg","turk18",1,1
36,5,"line",1,1,16,"Images/Lineups/svgs/lw8mpdWZl8cfR.svg","turk18",1,1
37,5,"scatter",1,1,7,"Images/Lineups/svgs/sLxIoDd7011CT.svg","turk18",1,1
38,5,"line",1,1,7,"Images/Lineups/svgs/lozq6RFMtQ0bA.svg","turk18",1,1
39,5,"scatter",1,1,7,"Images/Lineups/svgs/s2BSdbim9aDIM.svg","turk18",1,1
40,5,"line",1,1,7,"Images/Lineups/svgs/le1pfT4N7ybeh.svg","turk18",1,1
41,5,"scatter",1,1,19,"Images/Lineups/svgs/sU2wFafx71N99.svg","turk18",1,1
42,5,"line",1,1,14,"Images/Lineups/svgs/l10eu93wUpnfY.svg","turk18",1,1
43,5,"scatter",1,1,3,"Images/Lineups/svgs/sYwOWRHsBniov.svg","turk18",1,1
44,5,"line",1,1,3,"Images/Lineups/svgs/lYbEZpfTosQLr.svg","turk18",1,1
45,5,"scatter",1,1,19,"Images/Lineups/svgs/sDXv0Fyotzeb1.svg","turk18",1,1
46,5,"line",1,1,7,"Images/Lineups/svgs/lRRvZaj5z5p3y.svg","turk18",1,1
47,5,"scatter",1,1,8,"Images/Lineups/svgs/sAfLO1Jj3ExLh.svg","turk18",1,1
48,5,"line",1,1,8,"Images/Lineups/svgs/l6MKrtFColsJn.svg","turk18",1,1
49,5,"scatter",1,1,16,"Images/Lineups/svgs/scxrz8tArp6wH.svg","turk18",1,1
50,5,"line",1,1,16,"Images/Lineups/svgs/ldqO0XZDfpmAY.svg","turk18",1,1
51,5,"scatter",1,1,19,"Images/Lineups/svgs/sO1iXjlLh3kId.svg","turk18",1,1
52,5,"line",1,1,16,"Images/Lineups/svgs/lzGV08K8pWlMg.svg","turk18",1,1
53,5,"scatter",1,1,10,"Images/Lineups/svgs/shilQOTBXOzCS.svg","turk18",1,1
54,5,"line",1,1,10,"Images/Lineups/svgs/lzFSiC9SNl6n0.svg","turk18",1,1
55,5,"scatter",1,1,7,"Images/Lineups/svgs/st6g60B6Gihj5.svg","turk18",1,1
56,5,"line",1,1,7,"Images/Lineups/svgs/lLq68dVv2bdEO.svg","turk18",1,1
57,5,"scatter",1,1,4,"Images/Lineups/svgs/spJoR7RRGzSs0.svg","turk18",1,1
58,5,"line",1,1,4,"Images/Lineups/svgs/lMLDGVZ3EhUwT.svg","turk18",1,1
59,5,"scatter",1,1,8,"Images/Lineups/svgs/sz9pGvenlmomx.svg","turk18",1,1
60,5,"line",1,1,8,"Images/Lineups/svgs/ljbBT1Fi4ZbOo.svg","turk18",1,1
61,5,"scatter",1,1,18,"Images/Lineups/svgs/s459PzrupyCfD.svg","turk18",1,1
62,5,"line",1,1,18,"Images/Lineups/svgs/layA8NIxd0ayL.svg","turk18",1,1
63,5,"scatter",1,1,15,"Images/Lineups/svgs/spItiTCfJugtj.svg","turk18",1,1
64,5,"line",1,1,15,"Images/Lineups/svgs/l66fhZqYQKSwG.svg","turk18",1,1
65,5,"scatter",1,1,4,"Images/Lineups/svgs/sMSCqnhbwW4x7.svg","turk18",1,1
66,5,"line",1,1,4,"Images/Lineups/svgs/l3exHolJhqVlw.svg","turk18",1,1
67,5,"scatter",1,1,11,"Images/Lineups/svgs/sQg9Cjz5GEiVp.svg","turk18",1,1
68,5,"line",1,1,11,"Images/Lineups/svgs/lQRJdd41Xs9pU.svg","turk18",1,1
69,5,"scatter",1,1,20,"Images/Lineups/svgs/sbtnH1gZVKDop.svg","turk18",1,1
70,5,"line",1,1,20,"Images/Lineups/svgs/l3KOwptAf1o8f.svg","turk18",1,1
71,5,"scatter",1,1,17,"Images/Lineups/svgs/sLcLKneRGFTh4.svg","turk18",1,1
72,5,"line",1,1,17,"Images/Lineups/svgs/lBcVVBE3Wz2AF.svg","turk18",1,1
73,5,"scatter",1,1,2,"Images/Lineups/svgs/sSRLvaVkSPe2L.svg","turk18",1,1
74,5,"line",1,1,2,"Images/Lineups/svgs/lJxLvbIne2Zi7.svg","turk18",1,1
75,5,"scatter",1,1,19,"Images/Lineups/svgs/sP67eiJk2QVg8.svg","turk18",1,1
76,5,"line",1,1,20,"Images/Lineups/svgs/lQ4HjuIFFTWn0.svg","turk18",1,1
77,5,"scatter",1,1,10,"Images/Lineups/svgs/s11WwTGOEjPo6.svg","turk18",1,1
78,5,"line",1,1,10,"Images/Lineups/svgs/lol2IxJYK1FUa.svg","turk18",1,1
79,5,"scatter",1,1,3,"Images/Lineups/svgs/s259PMqB8ykyo.svg","turk18",1,1
80,5,"line",1,1,3,"Images/Lineups/svgs/lOcUtowafh1GL.svg","turk18",1,1
81,5,"scatter",1,1,1,"Images/Lineups/svgs/s39g8H6tBzyFk.svg","turk18",1,1
82,5,"line",1,1,1,"Images/Lineups/svgs/l15Uxoi36MJdp.svg","turk18",1,1
83,5,"scatter",1,1,18,"Images/Lineups/svgs/sLsI8GGwxvPpE.svg","turk18",1,1
84,5,"line",1,1,18,"Images/Lineups/svgs/lsIGBLiXYqeVn.svg","turk18",1,1
85,5,"scatter",1,1,2,"Images/Lineups/svgs/sj9Kzn6tmLyHQ.svg","turk18",1,1
86,5,"line",1,1,2,"Images/Lineups/svgs/ly2VSf86sHnhW.svg","turk18",1,1
87,5,"scatter",1,1,17,"Images/Lineups/svgs/sTFLymndIW0mh.svg","turk18",1,1
88,5,"line",1,1,17,"Images/Lineups/svgs/lbw5oQqFLJSH7.svg","turk18",1,1
89,5,"scatter",1,1,17,"Images/Lineups/svgs/sJznE5LOoa9Ll.svg","turk18",1,1
90,5,"line",1,1,17,"Images/Lineups/svgs/l8KyVzaT9D34e.svg","turk18",1,1
91,5,"scatter",1,1,4,"Images/Lineups/svgs/sEVntaJhuAEMD.svg","turk18",1,1
92,5,"line",1,1,4,"Images/Lineups/svgs/l0TuB0DHP6xCy.svg","turk18",1,1
93,5,"scatter",1,1,13,"Images/Lineups/svgs/sQNTvLzRCXBal.svg","turk18",1,1
