"pic_id","sample_size","test_param","param_value","p_value","obs_plot_location","pic_name","experiment","difficulty","data_name","trial"
3,3,"turk16-colorShape","k-3-sdline-0.25-sdgroup-0.25","line-0.85791-cluster-0.92514","14, 4","d4ed2485e76814d0bbad4041cd2b26f5.svg","turk16",113,"set-3-k-3-sdline-0.25-sdgroup-0.25",0
3,3,"turk16-colorEllipse","k-3-sdline-0.25-sdgroup-0.25","line-0.85791-cluster-0.92514","14, 4","fe6fc9871798861b9a20e2d07a473888.svg","turk16",114,"set-3-k-3-sdline-0.25-sdgroup-0.25",0
3,3,"turk16-colorShapeEllipse","k-3-sdline-0.25-sdgroup-0.25","line-0.85791-cluster-0.92514","14, 4","bd580c74bdfa0644e76f6ba3c273f905.svg","turk16",115,"set-3-k-3-sdline-0.25-sdgroup-0.25",0
3,3,"turk16-trend","k-3-sdline-0.25-sdgroup-0.25","line-0.85791-cluster-0.92514","14, 4","6dc937c4d6aa0f67d3add767d96c1af7.svg","turk16",116,"set-3-k-3-sdline-0.25-sdgroup-0.25",0
3,3,"turk16-trendError","k-3-sdline-0.25-sdgroup-0.25","line-0.85791-cluster-0.92514","14, 4","c1e4a21e6bf0277d0b72664c34f49685.svg","turk16",117,"set-3-k-3-sdline-0.25-sdgroup-0.25",0
3,3,"turk16-colorTrend","k-3-sdline-0.25-sdgroup-0.25","line-0.85791-cluster-0.92514","14, 4","9ba3e9ca88bf7b94f19d48124c263794.svg","turk16",118,"set-3-k-3-sdline-0.25-sdgroup-0.25",0
3,3,"turk16-colorEllipseTrendError","k-3-sdline-0.25-sdgroup-0.25","line-0.85791-cluster-0.92514","14, 4","4c9b5ac34d201355acc0536a6229ef83.svg","turk16",119,"set-3-k-3-sdline-0.25-sdgroup-0.25",0
4,3,"turk16-plain","k-3-sdline-0.25-sdgroup-0.30","line-0.85488-cluster-0.87696","2, 1","6df50d288f62e573470bc93f1e777204.svg","turk16",140,"set-4-k-3-sdline-0.25-sdgroup-0.30",0
4,3,"turk16-color","k-3-sdline-0.25-sdgroup-0.30","line-0.85488-cluster-0.87696","2, 1","bf2ac804482e509fe49f31f23458b0ff.svg","turk16",141,"set-4-k-3-sdline-0.25-sdgroup-0.30",0
4,3,"turk16-shape","k-3-sdline-0.25-sdgroup-0.30","line-0.85488-cluster-0.87696","2, 1","3ce9807412241b0e2d2d78e6cab2d213.svg","turk16",142,"set-4-k-3-sdline-0.25-sdgroup-0.30",0
4,3,"turk16-colorShape","k-3-sdline-0.25-sdgroup-0.30","line-0.85488-cluster-0.87696","2, 1","4c01b631380e0eb08a2efa6ce2334d91.svg","turk16",143,"set-4-k-3-sdline-0.25-sdgroup-0.30",0
4,3,"turk16-colorEllipse","k-3-sdline-0.25-sdgroup-0.30","line-0.85488-cluster-0.87696","2, 1","65456c1f56fdfdc08410fc299c073e46.svg","turk16",144,"set-4-k-3-sdline-0.25-sdgroup-0.30",0
4,3,"turk16-colorShapeEllipse","k-3-sdline-0.25-sdgroup-0.30","line-0.85488-cluster-0.87696","2, 1","3f50693a5c9a1ce003d7dafa785d994c.svg","turk16",145,"set-4-k-3-sdline-0.25-sdgroup-0.30",0
4,3,"turk16-trend","k-3-sdline-0.25-sdgroup-0.30","line-0.85488-cluster-0.87696","2, 1","55f289f97339904e3c737599d227cd0a.svg","turk16",146,"set-4-k-3-sdline-0.25-sdgroup-0.30",0
4,3,"turk16-trendError","k-3-sdline-0.25-sdgroup-0.30","line-0.85488-cluster-0.87696","2, 1","d658bb724ad493d16aa12e52a19e5bd9.svg","turk16",147,"set-4-k-3-sdline-0.25-sdgroup-0.30",0
4,3,"turk16-colorTrend","k-3-sdline-0.25-sdgroup-0.30","line-0.85488-cluster-0.87696","2, 1","87cc8f4925f93e405fc8a347c9f9f8fe.svg","turk16",148,"set-4-k-3-sdline-0.25-sdgroup-0.30",0
4,3,"turk16-colorEllipseTrendError","k-3-sdline-0.25-sdgroup-0.30","line-0.85488-cluster-0.87696","2, 1","302017fdf766c244a5987833bfadc4b3.svg","turk16",149,"set-4-k-3-sdline-0.25-sdgroup-0.30",0
