"pic_id","sample_size","test_param","param_value","p_value","obs_plot_location","pic_name","experiment","difficulty","data_name"
1,267,"trial","trial",NA,8,"Images/Lineups/svgs/filed1b0ac461a1.svg","turk21",NA,"trials/smallfriends-m-12-rep-11.csv"
2,259,"trial","trial",NA,9,"Images/Lineups/svgs/filed1b0384d2ff5.svg","turk21",NA,"trials/smallfriends-m-12-rep-16.csv"
3,258,"trial","trial",NA,9,"Images/Lineups/svgs/filed1b088d6f7e.svg","turk21",NA,"trials/smallfriends-m-12-rep-9.csv"
4,311,"trial","trial",NA,6,"Images/Lineups/svgs/filed1b0144fff88.svg","turk21",NA,"trials/smallfriends-rev-m-12-rep-a.csv"
5,283,"trial","trial",NA,2,"Images/Lineups/svgs/filed1b019934727.svg","turk21",NA,"trials/smallfriends-rev-m-12-rep-b.csv"
6,277,"trial","trial",NA,11,"Images/Lineups/svgs/filed1b049cd6954.svg","turk21",NA,"trials/smallfriends-rev-m-12-rep-c.csv"
