"pic_id","sample_size","test_param","param_value","p_value","obs_plot_location","pic_name","experiment","difficulty","data_name","trial"
165,3,"turk16-colorEllipse","k-3-sdline-0.35-sdgroup-0.35","line-0.79563-cluster-0.86487","14, 13","2c48aabfbebbc36a68cf095d4340ac14.svg","turk16",184,"set-17-k-3-sdline-0.35-sdgroup-0.35",0
166,3,"turk16-colorShapeEllipse","k-3-sdline-0.35-sdgroup-0.35","line-0.79563-cluster-0.86487","14, 13","42764d3ceeddffef48fef23bb4581f8b.svg","turk16",185,"set-17-k-3-sdline-0.35-sdgroup-0.35",0
167,3,"turk16-trend","k-3-sdline-0.35-sdgroup-0.35","line-0.79563-cluster-0.86487","14, 13","89d5329b6d34b8c068a27dc434ce4629.svg","turk16",186,"set-17-k-3-sdline-0.35-sdgroup-0.35",0
168,3,"turk16-trendError","k-3-sdline-0.35-sdgroup-0.35","line-0.79563-cluster-0.86487","14, 13","8f938af5d067947097c3a7904e918b74.svg","turk16",187,"set-17-k-3-sdline-0.35-sdgroup-0.35",0
169,3,"turk16-colorTrend","k-3-sdline-0.35-sdgroup-0.35","line-0.79563-cluster-0.86487","14, 13","5157529e7dac0714bd82cbe624b0516d.svg","turk16",188,"set-17-k-3-sdline-0.35-sdgroup-0.35",0
170,3,"turk16-colorEllipseTrendError","k-3-sdline-0.35-sdgroup-0.35","line-0.79563-cluster-0.86487","14, 13","1d1d007daac371df065ce04d165e8190.svg","turk16",189,"set-17-k-3-sdline-0.35-sdgroup-0.35",0
171,3,"turk16-plain","k-3-sdline-0.35-sdgroup-0.35","line-0.77955-cluster-0.85575","20, 5","2d26d50ac2e2aa3a3bdb8992879c57f6.svg","turk16",180,"set-18-k-3-sdline-0.35-sdgroup-0.35",0
172,3,"turk16-color","k-3-sdline-0.35-sdgroup-0.35","line-0.77955-cluster-0.85575","20, 5","8212a3de723ce92679923d1604904248.svg","turk16",181,"set-18-k-3-sdline-0.35-sdgroup-0.35",0
173,3,"turk16-shape","k-3-sdline-0.35-sdgroup-0.35","line-0.77955-cluster-0.85575","20, 5","1a02213aaa7c326d4e8484923a1630ce.svg","turk16",182,"set-18-k-3-sdline-0.35-sdgroup-0.35",0
174,3,"turk16-colorShape","k-3-sdline-0.35-sdgroup-0.35","line-0.77955-cluster-0.85575","20, 5","98bf134113086c4b333361476ee5a5e9.svg","turk16",183,"set-18-k-3-sdline-0.35-sdgroup-0.35",0
175,3,"turk16-colorEllipse","k-3-sdline-0.35-sdgroup-0.35","line-0.77955-cluster-0.85575","20, 5","c1ac5b9f4a7777327e321f56f3ed8f5b.svg","turk16",184,"set-18-k-3-sdline-0.35-sdgroup-0.35",0
176,3,"turk16-colorShapeEllipse","k-3-sdline-0.35-sdgroup-0.35","line-0.77955-cluster-0.85575","20, 5","8c9fa3cde834bd79fe54ebf16d6ca516.svg","turk16",185,"set-18-k-3-sdline-0.35-sdgroup-0.35",0
177,3,"turk16-trend","k-3-sdline-0.35-sdgroup-0.35","line-0.77955-cluster-0.85575","20, 5","44ce387654e9f9e027e7dc9727047280.svg","turk16",186,"set-18-k-3-sdline-0.35-sdgroup-0.35",0
178,3,"turk16-trendError","k-3-sdline-0.35-sdgroup-0.35","line-0.77955-cluster-0.85575","20, 5","d1e736b4f914af118da4a3fa180dea9e.svg","turk16",187,"set-18-k-3-sdline-0.35-sdgroup-0.35",0
179,3,"turk16-colorTrend","k-3-sdline-0.35-sdgroup-0.35","line-0.77955-cluster-0.85575","20, 5","e85a216f4f47615b5498763bc0bb71cc.svg","turk16",188,"set-18-k-3-sdline-0.35-sdgroup-0.35",0
180,3,"turk16-colorEllipseTrendError","k-3-sdline-0.35-sdgroup-0.35","line-0.77955-cluster-0.85575","20, 5","f30ba57353c2c112e227f09500dc75b2.svg","turk16",189,"set-18-k-3-sdline-0.35-sdgroup-0.35",0
181,3,"turk16-plain","k-3-sdline-0.45-sdgroup-0.25","line-0.66239-cluster-0.90875","2, 1","1d3dc9ded05d1060aebc6d79c045f67c.svg","turk16",130,"set-19-k-3-sdline-0.45-sdgroup-0.25",0
182,3,"turk16-color","k-3-sdline-0.45-sdgroup-0.25","line-0.66239-cluster-0.90875","2, 1","cc6243042028bbb1632692fe847053fc.svg","turk16",131,"set-19-k-3-sdline-0.45-sdgroup-0.25",0
183,3,"turk16-shape","k-3-sdline-0.45-sdgroup-0.25","line-0.66239-cluster-0.90875","2, 1","97e3df0abe0a4368c8e97f6f73850a3b.svg","turk16",132,"set-19-k-3-sdline-0.45-sdgroup-0.25",0
